n_features,n_classes,frac_extreme,extreme_ovr,extreme_fisher,extreme_contrastive,moderate_ovr,moderate_fisher,moderate_contrastive,seed
8,5,0.4102846331008918,0.9010420821670466,0.88490469786764,0.9067509458093044,0.756246694870983,0.7598685354255722,0.7508564144512083,19
14,3,0.035348751881322735,0.9421997440121657,0.8805574145882471,0.9445773834555435,0.7838121582216113,0.7469365507056425,0.7805369018376647,0
14,3,0.12021455764515751,0.9876888247711251,0.9833642246340701,0.9876888247711251,0.8322547572657351,0.8324538365222411,0.8317174771318543,1
14,3,0.09839937632901327,0.850242268846335,0.8358684764257918,0.864162251659375,0.7280347300942118,0.7358505198766354,0.7425100668375626,2
14,3,0.05971240299162698,0.9756250167686601,0.9231176654578803,0.9756250167686601,0.9018388431398606,0.792858469553172,0.8984056985977829,3
14,3,0.08183999155445179,0.9916709199236039,0.9550778408551216,0.9966063729630436,0.8448154967765593,0.7760825421159923,0.841797403732228,4
14,3,0.05687993099129049,1.0,0.9470867497001993,1.0,0.8392796797097373,0.8324317697256415,0.83307928031717,5
14,3,0.06710999008930954,1.0,0.9931100543674565,1.0,0.8338387683845825,0.8402376119528406,0.8352916782690862,6
14,3,0.07797433061112506,0.995093562379791,0.9838905248134533,0.995093562379791,0.8840676729813703,0.8454616428376678,0.8796626719330973,7
14,3,0.1260856424801716,0.996519805431541,0.9910860093582583,0.9967229877424012,0.8516102359345761,0.844144470505284,0.8440635749843237,8
14,3,0.1088041785322543,0.9840866557916916,0.985581879939142,0.9873246198745559,0.8007158220134251,0.8077652305233696,0.8029581534247221,9
14,3,0.06277405768325359,0.9726650588456256,0.8705553824126067,0.970726438117124,0.8912411395432259,0.7590373181025379,0.8866030577094902,10
14,3,0.02263014012479713,0.9123107872525509,0.867929415162569,0.9123107872525509,0.7964755269127977,0.7696357504322424,0.7952108126839169,11
14,3,0.011380459294048401,0.952887773111658,0.871136129788864,0.952887773111658,0.7999259199983333,0.7172270494312663,0.803134211151811,12
14,3,0.01465505546169661,1.0,0.862348177553,1.0,0.7816975318733346,0.7464955103818928,0.7779412416537363,13
14,3,0.024713453267817057,1.0,0.9568496597047748,1.0,0.8286449653342585,0.8181112437661439,0.8250752441040362,14
14,3,0.05666726860376968,0.998554909220856,0.998554909220856,0.998554909220856,0.7221995828214509,0.7372568895609097,0.7163767603718898,15
14,3,0.1688571224024194,0.9884982732182157,0.9492462487820519,0.9912547752997138,0.7734886595966752,0.7922806620756854,0.7737594374412972,16
14,3,0.03400750884714157,0.9324325022321251,0.8508955583150877,0.9165922911255796,0.7639638673339852,0.7240004359469299,0.7615698140218188,17
14,3,0.021542056741081117,1.0,1.0,1.0,0.7727687329682089,0.7799424147916658,0.7756937688634351,18
14,3,0.037435503409528545,0.9952603782847569,0.9054715700708714,0.9952603782847569,0.7901644712018012,0.790799178892871,0.7817541939852366,19
14,4,0.22274735705317483,0.8727079546642602,0.8551837370093913,0.8847737540495648,0.7463825496130458,0.7606453128337154,0.7456047037480302,0
14,4,0.1507229755076404,0.9146994040927188,0.887488154303083,0.9258590972655222,0.7609590263205327,0.772154464363393,0.7547284023687806,1
14,4,0.11127382227354951,0.9372164062810343,0.8592618055450824,0.9476572467008146,0.8421627323094298,0.7530494254869486,0.8338160382361097,2
14,4,0.12102429586060472,0.9773520748880729,0.9189824939444494,0.9899758782564734,0.7899347421868523,0.773088184517043,0.7795614294118202,3
14,4,0.15664790838588383,0.9645382908411223,0.9008364516033819,0.9721638373031702,0.8388394167040252,0.7743154886258357,0.8348451304851179,4
14,4,0.11773571456869664,0.9075888365555029,0.9097224541141465,0.9337337428631247,0.8010943342569279,0.8125017044515737,0.7960365323438383,5
14,4,0.1333879415129951,0.9807138639032031,0.9398881517199233,0.9955738332683344,0.8056247333761958,0.7724941789413736,0.8117499586895074,6
14,4,0.14140202905823546,0.969921689590913,0.952766780778814,0.9709201491567478,0.7987613404605947,0.8105136770472818,0.7980354613780847,7
