n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject,K
14,5,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.04618682237819838,0.040008785713268956,0.05275265853938111,0.11348451610914823,0.09997477355529408,0.12908688315224412,-0.06729769373094985,1.9073486328125e-06,-1.0,True,
20,3,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.09800487985178595,0.06929494453352529,0.1326277112665768,0.21762243158652014,0.1685624620122579,0.2777301125496314,-0.11961755173473418,1.9073486328125e-06,-1.0,True,
20,4,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.0628317615075177,0.053230805472889456,0.07293137885484015,0.16766447158097872,0.13392905582689166,0.2114737183405773,-0.10483271007346102,1.9073486328125e-06,-1.0,True,
20,5,stability_normalized,ovr_stability_normalized,fisher_stability_normalized,20,0.06110475083411421,0.05331750423283059,0.06922953805665967,0.15781102934754346,0.1381520679537532,0.17819530048854504,-0.09670627851342925,1.9073486328125e-06,-1.0,True,
8,3,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.03287088322063362,0.024474767625855362,0.041466650419943046,0.03389480735379091,0.025693244844483883,0.04267828752430764,-0.0010239241331572936,0.13272666931152344,-0.3904761904761905,False,
8,4,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.024386262306571694,0.019622271286831767,0.029865889693483243,0.028554110334600764,0.023240339241930648,0.03469568968182846,-0.004167848028029069,0.0001049041748046875,-0.8952380952380953,True,
8,5,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.022697198264801575,0.019191912881092302,0.026436771573787286,0.026020130013605442,0.0223649418011517,0.02989456094310391,-0.00332293174880387,1.9073486328125e-06,-1.0,True,
14,3,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.0641311044888578,0.04398545012969508,0.08687470513017136,0.06218887078188608,0.04240820523918931,0.08466679290912965,0.0019422337069717195,0.20244979858398438,0.3333333333333333,False,
14,4,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.050142453999866984,0.04203423886469717,0.05881597564254007,0.05000871081531311,0.04158595762288337,0.05937078288632704,0.00013374318455386218,0.36827659606933594,0.23809523809523808,False,
14,5,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.04618682237819838,0.040008785713268956,0.05275265853938111,0.04568274229940177,0.03936746883329404,0.052668988805589644,0.0005040800787966086,0.7011814117431641,0.10476190476190476,False,
20,3,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.09800487985178595,0.06929494453352529,0.1326277112665768,0.09631649241068563,0.06819138563361296,0.13051442491638376,0.0016883874411003376,0.3117942810058594,0.26666666666666666,False,
