n_features,n_classes,frac_extreme,ridge_fidelity,ridge_extreme,ridge_moderate,logistic_fidelity,logistic_extreme,logistic_moderate,ridge_direction_variance,logistic_direction_variance,seed
8,3,0.13877782448985973,0.8183090012447696,1.0,0.7890312117803902,0.8705286504747806,1.0,0.8496655645814879,0.024862765377724555,0.01530002058556692,13
8,3,0.009887684232305452,0.708461634951374,0.6221162868867816,0.7093239164551943,0.7249230307016633,0.6221162868867816,0.7259497027302856,0.020219223844463157,0.015491604751333675,13
8,3,0.0897153305131534,0.7886754938868086,0.9618033400555164,0.7716124558496944,0.7952754551337144,0.9618033400555164,0.7788628924088715,0.026787151275763674,0.01748914441045691,13
8,3,0.09548783537191413,0.7645720186546394,0.9917174971618586,0.7405926506534471,0.7668639112185099,0.9917174971618586,0.7431264944794311,0.016483548621642564,0.014729980619055508,14
8,3,0.06728084561584494,0.7662393580759017,1.0,0.7493772473468254,0.7724639136149931,1.0,0.7560508055232962,0.02371708771576841,0.029866897811717308,14
8,3,0.035552089157451755,0.6258347017071654,0.5412665437138576,0.6289521066588055,0.6285801605269017,0.5412665437138576,0.6317987703187826,0.3060569476056727,0.2793096802740736,14
8,3,0.16926360546958805,0.7740154404550756,0.8844971193138309,0.7515046567394583,0.7782987684862491,0.8844971193138309,0.7566607183486223,0.0347524608113953,0.03199133893128407,14
8,3,0.13936317039953577,0.7458100027279374,0.7117024092451485,0.7513330551920838,0.7273516508597869,0.7368365124288044,0.7258157644863523,0.06954899047328553,0.06845404408058267,14
8,3,0.19388544341912836,0.7287145020394099,0.8860648453205036,0.6908688375117702,0.7209611495287969,0.8953481213577833,0.6790178610922357,0.04075221151232032,0.03188826874135069,14
8,3,0.19807349979776653,0.7356426672570612,0.802630153716563,0.7190969540497498,0.7524282209964896,0.8237241447166542,0.7348183363886033,0.07197975112646662,0.07277605064670245,14
8,3,0.06525766885991001,0.5739548774634132,0.6524098832169475,0.5684776559711309,0.5760031871790146,0.6179456981143765,0.5730750321157527,0.19159751074987585,0.18078649171590866,14
8,3,0.08916874158328116,0.8502922012402243,1.0,0.8356360770709493,0.8588213085042109,1.0,0.8450001685919326,0.02365746679277147,0.02302578535410776,15
8,3,0.15014383933691702,0.7922917259337855,1.0,0.7555959659053898,0.8001821942615629,1.0,0.7648804409648176,0.013401113909540515,0.013107415487166143,15
8,3,0.14105350571486755,0.8048884314545879,0.9910204754705997,0.7743224095789377,0.7941312799111887,0.9617084669313404,0.7666122785946973,0.016597931971535806,0.010599226132491462,15
8,3,0.09583631587609666,0.8753949743902476,1.0,0.862187535511903,0.8878207297465537,1.0,0.8759303517458312,0.020433803517809747,0.020356763512859595,15
8,3,0.12906273453768388,0.852970930539721,0.9863909862784652,0.8331996359601143,0.8599073622988181,0.9863909862784652,0.8411639659229792,0.009239212255705306,0.007713601030945977,15
8,3,0.13948982352350428,0.9318611309918038,1.0,0.9208157313290561,0.9326723718209441,1.0,0.9217584753561657,0.023902494235556376,0.02247789332711331,15
8,3,0.08105911775871229,0.882188260599885,1.0,0.8717961713567762,0.901842705639271,1.0,0.8931843209311526,0.01445696474426987,0.013630367710274108,15
8,3,0.023166716871903907,0.842121743444195,1.0,0.8383774802899483,0.8302440525954786,1.0,0.8262180964382019,0.029457437882481532,0.026125035381425896,15
8,3,0.2624126465033001,0.8631228211535644,0.9762520323035768,0.8228746586085184,0.8685208079478305,0.9762520323035768,0.8301930959009636,0.010793761303885293,0.01266994561103913,16
8,3,0.3410454766723108,0.8614414570533588,0.9779497250674446,0.8011419729547123,0.8598977879341153,0.9779497250674446,0.7987993695358176,0.009437469614365005,0.008659283365526488,16
8,3,0.25915701158123516,0.8165697934780155,0.9633356461929957,0.7652290905404503,0.8248254117766902,0.9700248746512915,0.7740326534324461,0.01882520382144165,0.014542267126976467,16
8,3,0.37205999051173977,0.8287405867909301,0.9780358804786646,0.7402818093383294,0.8642792434730352,0.9780358804786646,0.7968774333551322,0.011420991393058553,0.008297193835042554,16
8,3,0.29738005582176197,0.8617714640760048,0.9819707261870253,0.8108977825466314,0.8735801918845767,0.9819707261870253,0.8277044899371865,0.013245607195124586,0.012623159197676776,16
8,3,0.2747975014508635,0.7945284984173266,0.9283832706822897,0.7438075521309097,0.8116885911575589,0.9192270261890642,0.7709395682078107,0.011662556643178806,0.014175310893846481,16
8,3,0.2772965808073688,0.8748429250481234,0.9857226532199715,0.8322990976821858,0.8760646479432722,0.9857226532199715,0.8339895876711688,0.012124963561047692,0.007406921204360973,16
8,3,0.33504511265321113,0.8249869655792316,0.9347070586266191,0.7697032438788587,0.8294166232879897,0.9280610914602695,0.7797134816458998,0.023211133489305067,0.013122780537214097,16
