n_features,n_classes,ridge_spearman,ridge_recall,logistic_spearman,logistic_recall,seed
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,1
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,0.75,0.9761904761904763,1.0,2
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,2
8,5,1.0,1.0,1.0,1.0,3
8,5,1.0,1.0,0.9761904761904763,1.0,3
8,5,1.0,1.0,0.9761904761904763,1.0,3
8,5,1.0,1.0,1.0,1.0,3
8,5,1.0,1.0,1.0,1.0,3
8,5,1.0,1.0,1.0,1.0,3
8,5,1.0,1.0,1.0,1.0,3
8,5,1.0,1.0,1.0,1.0,3
8,5,1.0,1.0,1.0,1.0,4
8,5,1.0,1.0,1.0,1.0,4
8,5,1.0,1.0,1.0,1.0,4
8,5,1.0,1.0,1.0,1.0,4
8,5,1.0,1.0,1.0,1.0,4
8,5,1.0,1.0,0.9761904761904763,1.0,4
8,5,0.9761904761904763,1.0,0.9761904761904763,1.0,4
8,5,1.0,1.0,1.0,1.0,4
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,5
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,6
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,7
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,0.9761904761904763,1.0,8
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,1.0,1.0,8
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,9
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,10
8,5,1.0,1.0,1.0,1.0,11
8,5,0.9285714285714287,0.75,1.0,1.0,11
8,5,1.0,1.0,1.0,1.0,11
8,5,0.9761904761904763,1.0,1.0,1.0,11
8,5,1.0,1.0,1.0,1.0,11
8,5,1.0,1.0,1.0,1.0,11
8,5,0.9285714285714287,0.75,1.0,1.0,11
8,5,1.0,1.0,1.0,1.0,11
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,12
