n_features,n_classes,K,sum_to_one_deviation,sum_to_one_deviation_topk,ovr_feature_overlap,fisher_feature_overlap,ovr_pairdiff_variance,fisher_pairdiff_variance,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,ovr_pairdiff_mean_norm,fisher_pairdiff_mean_norm,seed
8,3,2,0.0,0.000791395132813344,0.3333333333333333,0.5555555555555555,0.00144948833381565,1.7498395575213635e-05,0.013074108544224066,0.030815064832889517,0.2992480161504256,0.020897528009857724,4
8,3,5,0.0,0.0002335163290876352,0.30952380952380953,0.6190476190476191,0.00144948833381565,1.7498395575213635e-05,0.013074108544224066,0.030815064832889517,0.2992480161504256,0.020897528009857724,4
8,3,2,0.0,0.0005348480820459578,0.2222222222222222,0.5555555555555555,0.001892673923545592,1.20334294835834e-05,0.02180080943541665,0.02422733780271002,0.250486800252897,0.019259657794822336,4
8,3,5,0.0,0.007937018448625377,0.36904761904761907,0.5079365079365079,0.001892673923545592,1.20334294835834e-05,0.02180080943541665,0.02422733780271002,0.250486800252897,0.019259657794822336,4
8,3,2,2.220446049250313e-16,0.0004728370696829298,0.2222222222222222,0.5555555555555555,0.0018632903912212209,4.113285273291691e-05,0.08368942711351465,0.28760466060084394,0.13294568944950486,0.011462072402911782,4
8,3,5,2.220446049250313e-16,0.0010076065259685407,0.30952380952380953,0.7777777777777777,0.0018632903912212209,4.113285273291691e-05,0.08368942711351465,0.28760466060084394,0.13294568944950486,0.011462072402911782,4
8,3,2,0.0,0.0006898012702234446,0.2222222222222222,1.0,0.0006226140524653303,1.061551699372003e-05,0.031102873298201824,0.050148607550634994,0.12838588477987128,0.011892606271797983,5
8,3,5,0.0,0.00030892207990373954,0.36904761904761907,0.6190476190476191,0.0006226140524653303,1.061551699372003e-05,0.031102873298201824,0.050148607550634994,0.12838588477987128,0.011892606271797983,5
8,3,2,2.220446049250313e-16,1.0378046611414504e-05,0.5555555555555555,1.0,0.0007555154589394943,2.8911208811601854e-05,0.15587709389087015,0.15141859230506746,0.06563222252079635,0.012538034144573553,5
8,3,5,2.220446049250313e-16,0.0010229058284971781,0.7777777777777777,0.5079365079365079,0.0007555154589394943,2.8911208811601854e-05,0.15587709389087015,0.15141859230506746,0.06563222252079635,0.012538034144573553,5
8,3,2,0.0,0.001572947983080275,0.2222222222222222,0.5555555555555555,0.0016548786614556791,1.3273799993778589e-05,0.02072153227666508,0.03995216990600663,0.2712692859307149,0.016736948855495894,5
8,3,5,0.0,0.00037278708048271714,0.4484126984126984,1.0,0.0016548786614556791,1.3273799993778589e-05,0.02072153227666508,0.03995216990600663,0.2712692859307149,0.016736948855495894,5
8,3,2,2.220446049250313e-16,0.0028906032085191935,0.2222222222222222,1.0,0.0006519028315882687,3.610644228728238e-05,0.08060232417224139,0.15147822902124033,0.08296491155300555,0.01452337597858695,5
8,3,5,2.220446049250313e-16,0.0006051570725906785,0.44841269841269843,0.7777777777777777,0.0006519028315882687,3.610644228728238e-05,0.08060232417224139,0.15147822902124033,0.08296491155300555,0.01452337597858695,5
8,3,2,2.220446049250313e-16,0.0011722295529470461,0.5555555555555555,1.0,0.0010297843382964414,1.1463551620002326e-05,0.006986109216032993,0.01874691921275433,0.348327180437835,0.022580801000200903,5
8,3,5,2.220446049250313e-16,9.266991383860557e-05,0.6666666666666666,1.0,0.0010297843382964414,1.1463551620002326e-05,0.006986109216032993,0.01874691921275433,0.348327180437835,0.022580801000200903,5
8,3,2,2.220446049250313e-16,0.000136234817923242,0.5555555555555555,1.0,0.0007722162351206769,1.8054500345658995e-05,0.0663026415332412,0.07095738249498534,0.09313021039253629,0.014468027009624877,5
8,3,5,2.220446049250313e-16,0.00012681024374616712,0.6190476190476191,0.5079365079365079,0.0007722162351206769,1.8054500345658995e-05,0.0663026415332412,0.07095738249498534,0.09313021039253629,0.014468027009624877,5
8,3,2,2.220446049250313e-16,0.0006099145630993341,0.2222222222222222,0.5555555555555555,0.0006084948624446816,2.414588118166966e-05,0.1341807675794575,0.14319531247462672,0.06508689366651235,0.011287110810641883,5
8,3,5,2.220446049250313e-16,0.0002096556308144315,0.5873015873015873,0.5079365079365079,0.0006084948624446816,2.414588118166966e-05,0.1341807675794575,0.14319531247462672,0.06508689366651235,0.011287110810641883,5
8,3,2,3.3306690738754696e-16,0.0008693544015818677,0.5555555555555555,0.5555555555555555,0.0007628655838747153,1.1136054729625327e-05,0.012806828860868778,0.027863667602318218,0.22817393766169933,0.018414590985089147,5
8,3,5,3.3306690738754696e-16,0.0005459565361700669,0.7777777777777777,0.6190476190476191,0.0007628655838747153,1.1136054729625327e-05,0.012806828860868778,0.027863667602318218,0.22817393766169933,0.018414590985089147,5
8,3,2,1.1102230246251565e-16,0.00015702122571692456,0.5555555555555555,0.5555555555555555,0.0008424437403269328,9.10115372937195e-06,0.021069755001888527,0.05302352855693489,0.18446771180009,0.012382268248536657,6
8,3,5,1.1102230246251565e-16,0.0003112229767638919,0.6190476190476191,0.6190476190476191,0.0008424437403269328,9.10115372937195e-06,0.021069755001888527,0.05302352855693489,0.18446771180009,0.012382268248536657,6
8,3,2,0.0,2.2542898664656974e-05,0.5555555555555555,0.3333333333333333,0.0009860376914904555,9.746665339622367e-06,0.02026938370654489,0.03145933993672718,0.2071903161316703,0.014394638381706286,6
8,3,5,0.0,0.0011010192978222477,0.5873015873015873,0.5,0.0009860376914904555,9.746665339622367e-06,0.02026938370654489,0.03145933993672718,0.2071903161316703,0.014394638381706286,6
8,3,2,0.0,0.0004111863977358521,0.5555555555555555,0.5555555555555555,0.0008400844212638326,8.195257950700276e-06,0.025364964224166623,0.04577459971900623,0.16661098529807494,0.011272832098934895,6
8,3,5,0.0,7.051470307883889e-06,0.7777777777777777,0.7777777777777777,0.0008400844212638326,8.195257950700276e-06,0.025364964224166623,0.04577459971900623,0.16661098529807494,0.011272832098934895,6
8,3,2,2.220446049250313e-16,0.0001769996938913998,0.2222222222222222,0.5555555555555555,0.00044694516396063004,6.592134921298996e-06,0.020771973126083927,0.05039310733779845,0.1311845333601939,0.010190986893463169,6
