n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
20,4,spearman,contrastive_spearman,fisher_soft_spearman,20,0.999812030075188,0.99968984962406,0.9999154135338346,0.9820112781954886,0.9784774436090228,0.9853289473684207,0.017800751879699372,1.9073486328125e-06,1.0,True
20,5,spearman,contrastive_spearman,fisher_soft_spearman,20,0.9993984962406014,0.998703007518797,0.9998308270676691,0.9816353383458647,0.9772366071428571,0.9852164003759398,0.017763157894736963,1.9073486328125e-06,1.0,True
8,3,spearman,ovr_spearman,fisher_hard_spearman,20,0.9788690476190475,0.9694940476190474,0.9866071428571429,0.9633928571428573,0.9519308035714287,0.9735119047619047,0.015476190476190449,0.0002718207018669248,0.9766081871345029,True
8,4,spearman,ovr_spearman,fisher_hard_spearman,20,0.9751488095238097,0.967406994047619,0.9818452380952383,0.9663690476190476,0.9574404761904762,0.9742559523809522,0.008779761904761874,0.012110486710607516,0.672514619883041,True
8,5,spearman,ovr_spearman,fisher_hard_spearman,20,0.9721726190476192,0.9669642857142857,0.9772358630952382,0.9617559523809526,0.9546130952380952,0.9687537202380954,0.010416666666666657,0.0026102879923487377,0.7842105263157895,True
14,3,spearman,ovr_spearman,fisher_hard_spearman,20,0.9803296703296704,0.9746703296703298,0.9852747252747254,0.9501098901098899,0.9373351648351649,0.9598358516483515,0.030219780219780217,1.9073486328125e-06,1.0,True
14,4,spearman,ovr_spearman,fisher_hard_spearman,20,0.9730494505494505,0.964532967032967,0.9802204670329671,0.9498076923076922,0.9412637362637364,0.9579395604395604,0.023241758241758236,4.76837158203125e-05,0.9238095238095239,True
14,5,spearman,ovr_spearman,fisher_hard_spearman,20,0.9752472527472527,0.9702747252747255,0.9792582417582418,0.9524725274725274,0.9462637362637363,0.9585714285714285,0.022774725274725266,9.5367431640625e-06,0.9714285714285714,True
20,3,spearman,ovr_spearman,fisher_hard_spearman,20,0.9797462406015038,0.9755072838345862,0.9833364661654134,0.9462124060150376,0.9383453947368422,0.9531675281954886,0.03353383458646615,1.9073486328125e-06,1.0,True
20,4,spearman,ovr_spearman,fisher_hard_spearman,20,0.97468984962406,0.9687873590225564,0.9800657894736842,0.9406954887218044,0.9319544172932329,0.9492960526315789,0.03399436090225562,1.9073486328125e-06,1.0,True
20,5,spearman,ovr_spearman,fisher_hard_spearman,20,0.9732236842105264,0.966531719924812,0.9789661654135339,0.9447932330827067,0.9349149436090225,0.9523310620300751,0.028430451127819535,3.814697265625e-06,0.9904761904761905,True
8,3,spearman,ovr_spearman,fisher_soft_spearman,20,0.9788690476190475,0.9694940476190474,0.9866071428571429,0.9834821428571431,0.9784226190476192,0.9880952380952379,-0.004613095238095244,0.37742145989814424,-0.25833333333333336,False
8,4,spearman,ovr_spearman,fisher_soft_spearman,20,0.9751488095238097,0.967406994047619,0.9818452380952383,0.9866071428571429,0.9818452380952379,0.9904761904761905,-0.011458333333333338,0.0004499778238610099,-0.9157894736842105,True
8,5,spearman,ovr_spearman,fisher_soft_spearman,20,0.9721726190476192,0.9669642857142857,0.9772358630952382,0.9808035714285717,0.9754464285714288,0.9857142857142858,-0.008630952380952373,0.0005802163114750983,-0.9477124183006536,True
14,3,spearman,ovr_spearman,fisher_soft_spearman,20,0.9803296703296704,0.9746703296703298,0.9852747252747254,0.9833791208791209,0.978323489010989,0.987554945054945,-0.003049450549450544,0.0064048886597569184,-0.7105263157894737,True
14,4,spearman,ovr_spearman,fisher_soft_spearman,20,0.9730494505494505,0.964532967032967,0.9802204670329671,0.9817582417582418,0.9780769230769231,0.9852472527472529,-0.008708791208791217,0.00019093457730780657,-0.9736842105263158,True
14,5,spearman,ovr_spearman,fisher_soft_spearman,20,0.9752472527472527,0.9702747252747255,0.9792582417582418,0.9846153846153847,0.9820054945054946,0.9870329670329671,-0.009368131868131884,0.00021178210209595166,-0.968421052631579,True
20,3,spearman,ovr_spearman,fisher_soft_spearman,20,0.9797462406015038,0.9755072838345862,0.9833364661654134,0.9841541353383458,0.9810996240601504,0.986955122180451,-0.004407894736842099,0.0005378171261827214,-0.9052631578947369,True
20,4,spearman,ovr_spearman,fisher_soft_spearman,20,0.97468984962406,0.9687873590225564,0.9800657894736842,0.9820112781954886,0.9784774436090228,0.9853289473684207,-0.007321428571428567,3.814697265625e-06,-0.9857142857142858,True
