n_features,n_classes,frac_extreme,standard_fidelity,standard_extreme,standard_moderate,pairkernel_fidelity,pairkernel_extreme,pairkernel_moderate,standard_direction_variance,pairkernel_direction_variance,seed
8,3,0.22548920579809129,0.8094520000919251,0.9963579838565086,0.7550366424836227,0.8399362055020204,0.9963579838565086,0.794395945979848,0.026550441071542533,0.022161808973060207,12
8,3,0.26023649502609725,0.7806595361505768,0.977304226418341,0.7114832053141691,0.7865074785234479,0.9642962243107424,0.7239643552851593,0.04330472928089406,0.04196952783810798,12
8,3,0.1863112478913138,0.7973574019121977,1.0,0.7509580935429534,0.8017385602147439,1.0,0.7563424106927141,0.022347032968942075,0.02132539467289234,12
8,3,0.15638209847588608,0.8405355468646191,1.0,0.8109754986857367,0.836784892494741,1.0,0.8065295826340477,0.03200044304880608,0.03282255056160209,12
8,3,0.4289310375093883,0.8592725023690102,0.9195640182852672,0.8139874244299355,0.863249629131425,0.8969424472444257,0.8379428862000717,0.04572040414943768,0.03324481549427472,12
8,3,0.24998761050340682,0.854615063072535,1.0,0.8061566195925814,0.8712575576120409,1.0,0.8283462457541927,0.023003063295997002,0.012793455807609684,12
8,3,0.15280274257677287,0.7712637323804215,0.8579417314963371,0.7556302587473,0.7575784175090897,0.8579417314963371,0.7394766242171837,0.027290622404193783,0.024614212374219294,13
8,3,0.22613714230582974,0.807144712253958,0.9776130634208244,0.7573306846091574,0.8169047677698249,0.9729942453894094,0.7712925148209281,0.016384108636954872,0.017167642287803393,13
8,3,0.10651715271514571,0.7977125370558994,1.0,0.773596702433831,0.8086253953527951,1.0,0.7858105444007564,0.036965723858485434,0.028360524587305702,13
8,3,0.1062463930614738,0.871977127622028,0.9879359191187222,0.8581923403555543,0.8800637526177791,0.9879359191187222,0.8672402758636985,0.014011273219636071,0.016044078873763926,13
8,3,0.29054903376258956,0.771026856984934,0.8538473576693315,0.737108492510492,0.7820336137253394,0.8533275026645355,0.7528358657057407,0.0623311006823037,0.036252572586968825,13
8,3,0.13877782448985973,0.8183090012447696,1.0,0.7890312117803902,0.8719831859548219,1.0,0.8513544847247483,0.024862765377724555,0.016472221782703484,13
8,3,0.009887684232305452,0.708461634951374,0.6221162868867816,0.7093239164551943,0.7276830081239628,0.6221162868867816,0.7287372424652696,0.020219223844463157,0.014897743785161281,13
8,3,0.0897153305131534,0.7886754938868086,0.9618033400555164,0.7716124558496944,0.8030499729768548,0.9618033400555164,0.7874036468604685,0.026787151275763674,0.018264865566981862,13
8,3,0.09548783537191413,0.7645720186546394,0.9917174971618586,0.7405926506534471,0.7694155132839897,0.9917174971618586,0.7459474649044436,0.016483548621642564,0.015140916872709353,14
8,3,0.06728084561584494,0.7662393580759017,1.0,0.7493772473468254,0.7775366503742477,1.0,0.7614894595226386,0.02371708771576841,0.032275291047259076,14
8,3,0.035552089157451755,0.6258347017071654,0.5412665437138576,0.6289521066588055,0.6129213226859958,0.5412665437138576,0.6155627064890353,0.3060569476056727,0.26170430825403024,14
8,3,0.16926360546958805,0.7740154404550756,0.8844971193138309,0.7515046567394583,0.7782987684862491,0.8844971193138309,0.7566607183486223,0.0347524608113953,0.03155459198938517,14
8,3,0.13936317039953577,0.7458100027279374,0.7117024092451485,0.7513330551920838,0.7353693471902853,0.7368365124288044,0.7351317686994426,0.06954899047328553,0.06982135749222083,14
8,3,0.19388544341912836,0.7287145020394099,0.8860648453205036,0.6908688375117702,0.7312107910133463,0.8860648453205036,0.6939655301016228,0.04075221151232032,0.03022004395691271,14
8,3,0.19807349979776653,0.7356426672570612,0.802630153716563,0.7190969540497498,0.7595522878374692,0.8237241447166542,0.7437020269003684,0.07197975112646662,0.07057906406354994,14
8,3,0.06525766885991001,0.5739548774634132,0.6524098832169475,0.5684776559711309,0.5880450067457453,0.6179456981143765,0.5859575337053016,0.19159751074987585,0.17302237843392165,14
8,3,0.08916874158328116,0.8502922012402243,1.0,0.8356360770709493,0.8637010875939746,1.0,0.8503576692756994,0.02365746679277147,0.024076639020839764,15
8,3,0.15014383933691702,0.7922917259337855,1.0,0.7555959659053898,0.7976349149543086,1.0,0.7618831345673835,0.013401113909540515,0.014344792492707734,15
8,3,0.14105350571486755,0.8048884314545879,0.9910204754705997,0.7743224095789377,0.7967152664576802,0.9617084669313404,0.769620599326761,0.016597931971535806,0.010956747146235166,15
8,3,0.09583631587609666,0.8753949743902476,1.0,0.862187535511903,0.893983454427633,1.0,0.8827462909272977,0.020433803517809747,0.02123256663947141,15
8,3,0.12906273453768388,0.852970930539721,0.9863909862784652,0.8331996359601143,0.8599073622988181,0.9863909862784652,0.8411639659229792,0.009239212255705306,0.007819289114644593,15
8,3,0.13948982352350428,0.9318611309918038,1.0,0.9208157313290561,0.9318611309918038,1.0,0.9208157313290561,0.023902494235556376,0.022300512602196593,15
8,3,0.08105911775871229,0.882188260599885,1.0,0.8717961713567762,0.901842705639271,1.0,0.8931843209311526,0.01445696474426987,0.014569642925508754,15
8,3,0.023166716871903907,0.842121743444195,1.0,0.8383774802899483,0.8346928694865428,1.0,0.8307724221024724,0.029457437882481532,0.02566703310242225,15
8,3,0.2624126465033001,0.8631228211535644,0.9762520323035768,0.8228746586085184,0.8642912150616503,0.9762520323035768,0.8244587339082737,0.010793761303885293,0.013132287568698166,16
8,3,0.3410454766723108,0.8614414570533588,0.9779497250674446,0.8011419729547123,0.8642350340693002,0.9779497250674446,0.8053813808607904,0.009437469614365005,0.008115059040720272,16
8,3,0.25915701158123516,0.8165697934780155,0.9633356461929957,0.7652290905404503,0.8192816939142009,0.9573719720863855,0.7709758256277134,0.01882520382144165,0.013530369596283722,16
8,3,0.37205999051173977,0.8287405867909301,0.9780358804786646,0.7402818093383294,0.859979966386389,0.9664805474778414,0.7968774333551322,0.011420991393058553,0.008748021004725819,16
8,3,0.29738005582176197,0.8617714640760048,0.9819707261870253,0.8108977825466314,0.8637378759162904,0.9819707261870253,0.8136964674638173,0.013245607195124586,0.013816050187938415,16
8,3,0.2747975014508635,0.7945284984173266,0.9283832706822897,0.7438075521309097,0.8051575980929064,0.9068988457385282,0.7666052755299746,0.011662556643178806,0.01352659526654188,16
8,3,0.2772965808073688,0.8748429250481234,0.9857226532199715,0.8322990976821858,0.8748528344124744,0.9857226532199715,0.8323128092049045,0.012124963561047692,0.007555759473460652,16
8,3,0.33504511265321113,0.8249869655792316,0.9347070586266191,0.7697032438788587,0.826578363038493,0.9280610914602695,0.7754451315615477,0.023211133489305067,0.012920454745066378,16
8,3,0.12365446627068932,0.8630308598580931,1.0,0.8437041841714751,0.881442373384935,1.0,0.8647136066175406,0.015368726577072039,0.012231579747652753,17
8,3,0.16511033590090365,0.8710565649928856,0.9895303344889225,0.8476268296421136,0.8680181186718436,0.9895303344889225,0.8439874908747319,0.010537211831357526,0.011057802954714414,17
8,3,0.038618193389952475,0.7472439829546955,0.8274775281264161,0.7440210443235511,0.7444843060806117,0.8274775281264161,0.7411505127042616,0.04528793142055201,0.04248925284825601,17
8,3,0.04444700947624543,0.7346319526235111,1.0,0.722288507274687,0.7624426046890028,1.0,0.7513927561664707,0.1586964784801168,0.14442123581741934,17
8,3,0.03385592314256594,0.8034336525675106,1.0,0.7965455130958744,0.8271269023651108,1.0,0.821069029168826,0.12950159224501273,0.10769843487003251,17
8,3,0.029687740377584426,0.830207468284524,1.0,0.8250124843506063,0.8370808985384606,1.0,0.8320962145475341,0.03724847646132634,0.04626107530259253,17
8,3,0.07015019477100526,0.7377395606235657,0.8631426169605582,0.7282788404325743,0.7493071805481983,0.8979212829325496,0.7380953609948104,0.13922079581449653,0.13939411978377708,17
8,3,0.1744625017040099,0.8438419340844661,1.0,0.8108407355960653,0.8346067981155616,1.0,0.7996539197482488,0.017662811209063635,0.01693976558323666,17
8,3,0.08105409225336054,0.7579521450094198,0.9151839454426626,0.7440837760988619,0.7780561263816251,0.9151839454426626,0.7659609956421782,0.04587056912854014,0.037747311980082625,18
8,3,0.06350506922042108,0.8199992313328927,1.0,0.807793120121572,0.8341243881348082,1.0,0.8228761241375757,0.020571390187933226,0.017228869716053148,18
8,3,0.06742870877787062,0.7165434686436127,0.8897098903115311,0.7040228299249895,0.7049922498375099,0.8897098903115311,0.691636410876034,0.038144958925941684,0.045927603035474676,18
8,3,0.08105270054107501,0.7169809392188174,0.8047489029905078,0.7092396568962347,0.7142054645684037,0.7832463818387816,0.7081159393084765,0.14808918900028678,0.1650359726393057,18
8,3,0.04712746029690834,0.6490664846991192,0.788934904164066,0.6421488298077529,0.6398760334516762,0.788934904164066,0.6325038344232636,0.10735461237218819,0.11611262691293305,18
8,3,0.11555836097352165,0.7852167468580976,0.9479003047303629,0.7639610251965155,0.7775465556303341,0.9479003047303629,0.755288670923139,0.039323856190572076,0.03858986916456646,18
8,3,0.07031467164422757,0.7019935746877807,0.8190611400524975,0.6931394310676295,0.7045881841918756,0.7725989084594104,0.699444345089224,0.12507734069878684,0.1342837608673506,18
8,3,0.06114296702066373,0.7529950299103635,0.8755554004948615,0.7450132984715437,0.7496292247140817,0.8755554004948615,0.7414282955605032,0.036640953358180725,0.04133746997509983,18
8,3,0.1406647586574614,0.8117927325469751,0.9628208976095289,0.7870709018027673,0.8202760686815873,0.9628208976095289,0.7969428769371266,0.01840722923544126,0.0178979266757535,19
8,3,0.26994289921086567,0.8241199906493827,1.0,0.7590873245935079,0.8548916543082788,1.0,0.801236991551934,0.01167025603649619,0.016379166550596756,19
8,3,0.18939966404888028,0.8405068159617064,1.0,0.8032406637838956,0.8513734865927903,1.0,0.8166463708248796,0.015195835158889724,0.01605447205205055,19
8,3,0.278460724845019,0.8824047156899124,1.0,0.8370216447540864,0.8882528650341784,1.0,0.8451267466461627,0.010686946225214787,0.014163843975816442,19
8,3,0.22357940319639627,0.8362825335017432,1.0,0.7891381717947017,0.8602589464892229,0.9785405717870768,0.8261983673365508,0.038000636395564266,0.023413150293165232,19
8,3,0.16448377716344698,0.8559814712166194,1.0,0.8276292849294513,0.848778904223466,1.0,0.8190087856545227,0.014524952201508796,0.017148054405309934,19
8,3,0.2973271533069526,0.9057249720744022,1.0,0.8658336829588911,0.907072921343024,1.0,0.8677519999608438,0.029173031884735644,0.026765681831330004,19
8,3,0.13086682009062614,0.8621620794154491,1.0,0.8414075957853506,0.8865419548191369,1.0,0.8694583893429386,0.007850497257546952,0.009780588519973503,19
8,4,0.2909063479216192,0.9403130478249011,0.9705705013608131,0.9278998986171191,0.9471827865281972,0.9816887935822817,0.933026664182384,0.05462178640768367,0.055925221419848445,0
8,4,0.30331038119922626,0.8040487431127544,0.876396254793525,0.772551573132696,0.8017991074212203,0.8576971151396681,0.7774633837763874,0.030824179953773685,0.017727404244791602,0
