n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
20,3,12,recall,fisher_select_recall,ridge_select_recall,20,0.8348958333333334,0.8046744791666667,0.8661458333333334,0.825,0.7979166666666666,0.8526041666666666,0.009895833333333336,0.024638123611064742,0.6143790849673203,False
20,4,6,recall,fisher_select_recall,ridge_select_recall,20,0.7010416666666666,0.6635416666666667,0.7375,0.6854166666666666,0.65,0.7177083333333334,0.015625,0.06513777341398778,0.5220588235294118,False
20,4,12,recall,fisher_select_recall,ridge_select_recall,20,0.8114583333333334,0.7932291666666667,0.8286588541666665,0.8078125,0.7921875,0.8234375,0.0036458333333333147,0.4443035160943034,0.20915032679738563,False
20,5,6,recall,fisher_select_recall,ridge_select_recall,20,0.6229166666666667,0.584375,0.659375,0.6239583333333334,0.5916666666666666,0.6562499999999999,-0.0010416666666666686,0.964865161659579,0.011695906432748537,False
20,5,12,recall,fisher_select_recall,ridge_select_recall,20,0.7630208333333334,0.7463541666666667,0.7796875,0.7541666666666667,0.7369791666666667,0.7729166666666667,0.00885416666666668,0.021194916052500103,0.6140350877192983,False
8,3,2,recall,ridge_select_recall,pair_lasso_recall,20,0.8,0.728125,0.86875,0.68125,0.584375,0.775,0.11875,0.03967248626597541,0.6,False
8,3,5,recall,ridge_select_recall,pair_lasso_recall,20,0.85875,0.82,0.8924999999999998,0.8724999999999999,0.8300000000000001,0.9100000000000001,-0.013750000000000002,0.6869517202469118,-0.1111111111111111,False
8,4,2,recall,ridge_select_recall,pair_lasso_recall,20,0.653125,0.609375,0.7,0.759375,0.690625,0.828125,-0.10625,0.03525489842985291,-0.5473684210526316,False
8,4,5,recall,ridge_select_recall,pair_lasso_recall,20,0.7775000000000001,0.7525000000000001,0.8037500000000002,0.9025000000000001,0.8737187499999999,0.9299999999999999,-0.125,0.00026752703562731077,-0.9526315789473684,True
8,5,2,recall,ridge_select_recall,pair_lasso_recall,20,0.59375,0.53125,0.6469531249999988,0.75,0.690625,0.80625,-0.15625,0.0010545495330492936,-0.8421052631578947,False
8,5,5,recall,ridge_select_recall,pair_lasso_recall,20,0.7575000000000001,0.7325,0.7825000000000001,0.89125,0.8625,0.9174999999999999,-0.13374999999999998,0.00020897323949010604,-0.968421052631579,True
14,3,4,recall,ridge_select_recall,pair_lasso_recall,20,0.8140625,0.775,0.8515625,0.709375,0.65,0.76875,0.1046875,0.014430228279950408,0.6549707602339181,False
14,3,8,recall,ridge_select_recall,pair_lasso_recall,20,0.85390625,0.8265625,0.8796875,0.8625,0.840625,0.88359375,-0.00859375,0.4463744743331328,-0.20915032679738563,False
14,4,4,recall,ridge_select_recall,pair_lasso_recall,20,0.6375,0.6015625,0.6765625,0.7109375,0.6578125,0.7625,-0.0734375,0.021416119245247327,-0.6,False
14,4,8,recall,ridge_select_recall,pair_lasso_recall,20,0.78203125,0.76171875,0.803125,0.83984375,0.809375,0.8703125,-0.0578125,0.005587801852258357,-0.7426900584795322,False
14,5,4,recall,ridge_select_recall,pair_lasso_recall,20,0.6015625,0.5703125,0.6328125,0.696875,0.65625,0.7359375,-0.0953125,0.0025911997956931084,-0.8070175438596491,False
14,5,8,recall,ridge_select_recall,pair_lasso_recall,20,0.74375,0.7265625,0.7625,0.85703125,0.82890625,0.88046875,-0.11328125,0.000331225215457914,-0.9142857142857143,True
20,3,6,recall,ridge_select_recall,pair_lasso_recall,20,0.7583333333333334,0.7166666666666666,0.796875,0.709375,0.6520833333333333,0.7625,0.04895833333333337,0.15869466197611393,0.3684210526315789,False
20,3,12,recall,ridge_select_recall,pair_lasso_recall,20,0.825,0.7979166666666666,0.8526041666666666,0.8390625,0.8166666666666668,0.8609505208333332,-0.014062500000000006,0.348701689073191,-0.25146198830409355,False
20,4,6,recall,ridge_select_recall,pair_lasso_recall,20,0.6854166666666666,0.65,0.7177083333333334,0.7239583333333333,0.6916666666666668,0.7541666666666667,-0.03854166666666669,0.027910219590029678,-0.5736842105263158,False
20,4,12,recall,ridge_select_recall,pair_lasso_recall,20,0.8078125,0.7921875,0.8234375,0.8812499999999999,0.8609375,0.9010416666666666,-0.07343749999999998,0.00020144941962047083,-0.9476190476190476,True
20,5,6,recall,ridge_select_recall,pair_lasso_recall,20,0.6239583333333334,0.5916666666666666,0.6562499999999999,0.715625,0.6854166666666667,0.7447916666666667,-0.09166666666666667,0.0014929793636503377,-0.8095238095238095,False
20,5,12,recall,ridge_select_recall,pair_lasso_recall,20,0.7541666666666667,0.7369791666666667,0.7729166666666667,0.8739583333333334,0.8577994791666667,0.8901041666666665,-0.1197916666666667,0.00010220102835688598,-0.9904761904761905,True
8,3,2,spearman,joint_refit_spearman,ridge_select_spearman,20,0.5338544814701958,0.4717987689343355,0.5977708911951218,0.7197293629747821,0.6922572892932867,0.7421380996718955,-0.18587488150458636,0.0001314204445389205,-1.0,True
8,3,5,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8575721891035235,0.8171600145983383,0.8926435979751114,0.9292398507106816,0.9121615994340821,0.9447932581232987,-0.07166766160715791,0.0007239534999888531,-0.8842105263157894,True
8,4,2,spearman,joint_refit_spearman,ridge_select_spearman,20,0.5792515961353619,0.5368744612011404,0.622213243275573,0.669363894558707,0.6462756624221311,0.6916727770872975,-0.09011229842334507,0.0018466307707454858,-0.8362573099415205,False
8,4,5,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8414088441453135,0.8135042014344414,0.8683985805377963,0.9011827236134111,0.8882215507695636,0.9141438964572588,-0.059773879468097625,0.0014750245052184228,-0.8538011695906432,False
8,5,2,spearman,joint_refit_spearman,ridge_select_spearman,20,0.5364847863971474,0.4966307958187792,0.5750650274599639,0.6126662105777483,0.5767138389743586,0.6451066380101527,-0.07618142418060092,0.003524498666948075,-0.7631578947368421,False
8,5,5,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8371392813261636,0.8084722166833005,0.8635190801730538,0.8886790039287581,0.8708383307201679,0.9059097395917556,-0.05153972260259441,0.003758735438562999,-0.7578947368421053,False
14,3,4,spearman,joint_refit_spearman,ridge_select_spearman,20,0.6256207416207196,0.5860465003521973,0.666794693800718,0.751016741866362,0.7397116592701217,0.7622190197011496,-0.12539600024564243,4.76837158203125e-05,-0.9238095238095239,True
14,3,8,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8454623549342705,0.8221251062328379,0.8696963927827942,0.9194501402861743,0.9087987586268182,0.9293584272317789,-0.07398778535190406,0.00021367000439069728,-0.968421052631579,True
14,4,4,spearman,joint_refit_spearman,ridge_select_spearman,20,0.570286831523301,0.5325665171244918,0.6069722159804563,0.6750874678427589,0.6523065349084508,0.6968373421444215,-0.10480063631945775,1.9073486328125e-06,-1.0,True
14,4,8,spearman,joint_refit_spearman,ridge_select_spearman,20,0.7979957950563338,0.7653975631738973,0.8259049170062501,0.8682806168514953,0.8525380177305326,0.8838080437657821,-0.07028482179516143,1.9073486328125e-06,-1.0,True
14,5,4,spearman,joint_refit_spearman,ridge_select_spearman,20,0.5329674126796129,0.5079286463023529,0.5570383518047025,0.6568837125930482,0.6384218700760925,0.6750358503893097,-0.12391629991343533,1.9073486328125e-06,-1.0,True
14,5,8,spearman,joint_refit_spearman,ridge_select_spearman,20,0.787373007710157,0.7693868272913496,0.806375715962495,0.8617468162899842,0.8466340069167995,0.8735848619462887,-0.07437380857982707,1.33514404296875e-05,-0.9619047619047619,True
20,3,6,spearman,joint_refit_spearman,ridge_select_spearman,20,0.6265802391175702,0.5886999440374369,0.6620514012533573,0.7462706798011569,0.730662371958395,0.7604796830461112,-0.11969044068358654,1.9073486328125e-06,-1.0,True
20,3,12,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8456166285529786,0.8169071642899379,0.8695008850542243,0.9141556012080689,0.9011002062272762,0.9264831003558015,-0.06853897265509039,1.9073486328125e-06,-1.0,True
