n_features,n_classes,K,ovr_union_fidelity_test,ovr_union_complexity,ovr_exact_fidelity_test,ovr_exact_complexity,ovr_union_half_fidelity_test,ovr_union_half_complexity,pairwise_lime_fidelity_test,pairwise_lime_complexity,pairwise_lime_brier_test,contrastive_fidelity_test,contrastive_complexity,contrastive_brier_test,logistic_fidelity_test,logistic_complexity,logistic_brier_test,seed
8,3,4,0.8027346354170377,6,0.7798494298153882,4,0.7429902965261004,3,0.7594769086563381,4,0.024217315323699293,0.7621022953722578,4,0.023957625268973794,0.7677233356064227,4,0.025172706307338442,5
8,3,2,0.7262695993077213,3,0.7318041670656077,2,0.6879657196276318,2,0.7289452795767185,2,0.027912547844724557,0.7290870871708507,2,0.02764576932615232,0.6936175274195504,2,0.02974930905287264,5
8,3,4,0.7761455180877724,5,0.7635464494518032,4,0.7262695993077213,3,0.771167523439604,4,0.02498615691170725,0.7661081602652282,4,0.02474576100799115,0.7437453195889895,4,0.026885609083266173,5
8,3,2,0.7546264044827962,3,0.7281960503149527,2,0.7082638785932767,2,0.7101838346751851,2,0.035966105671797,0.6953940367444795,2,0.03842630367822072,0.7281213244095571,2,0.036243532214617034,5
8,3,4,0.7586500056552773,6,0.7578149040101118,4,0.7546264044827962,3,0.7581044679949176,4,0.02997272053736111,0.7543520254872259,4,0.03232163249182924,0.7581044679949176,4,0.029745533586125514,5
8,3,2,0.8709364900061081,2,0.8709364900061081,2,0.8685637750999016,1,0.8684218922739991,2,0.028011884927282956,0.8637604983890123,2,0.023496940473966922,0.8703013358077932,2,0.03409478325257803,5
8,3,4,0.8899683575104241,5,0.882806261970542,4,0.8709364900061081,2,0.886118066678157,4,0.024089200001969544,0.8629583603531634,4,0.0200175132979174,0.886118066678157,4,0.02088184663933725,5
8,3,2,0.9680062277547211,3,0.9680062277547211,2,0.9680062277547211,1,0.9680062277547211,2,0.016944685387801646,0.9693229289741878,2,0.024291854077704213,0.9680062277547211,2,0.0166751615557903,5
8,3,4,0.9680062277547211,6,0.9696744078578493,4,0.9680062277547211,3,0.9680062277547211,4,0.015174869535517936,0.9706872393006619,4,0.021785388147876103,0.9680062277547211,4,0.014514226219573068,5
8,3,2,0.6074787782570452,3,0.633161039417376,2,0.6306278370152166,2,0.6136433829019688,2,0.01831775801624832,0.6070767715725461,2,0.01872637414118466,0.6848074428218927,2,0.014479431638012852,6
8,3,4,0.6292194263376027,7,0.6763356769747431,4,0.6074787782570452,3,0.6364993664957014,4,0.015448118100152517,0.6300777798024311,4,0.015958258711052616,0.6415702829730201,4,0.015462748065033866,6
8,3,2,0.7541391063680045,2,0.7541391063680045,2,0.6448196023230325,1,0.7549154649865887,2,0.026448717538401237,0.740626649725872,2,0.02592228075671108,0.7510068009295944,2,0.025722105406470276,6
8,3,4,0.7825726734660255,4,0.7825726734660255,4,0.7541391063680045,2,0.7876983341265825,4,0.02196616451844598,0.8012258087765004,4,0.023176177897235327,0.7919670995883874,4,0.02098317217708661,6
8,3,2,0.6814807725770382,3,0.6462643351628373,2,0.6984747219132967,1,0.6457545110172183,2,0.015723838839235435,0.6457545110172183,2,0.016168592972695017,0.6457545110172183,2,0.015631900206918698,6
8,3,4,0.7582465640826943,4,0.7582465640826943,4,0.6814807725770382,3,0.760395321687581,4,0.009425603315797271,0.7547494527041313,4,0.009683739747532944,0.7547494527041313,4,0.00932629601478264,6
8,3,2,0.7008179554739098,2,0.7008179554739098,2,0.6958466592988555,1,0.7008179554739098,2,0.012502461154643141,0.7008179554739098,2,0.012612338764029889,0.6958466592988555,2,0.01434935879896709,6
8,3,4,0.764118963908603,5,0.7668360518826581,4,0.7008179554739098,2,0.7450163300504842,4,0.011310629312699433,0.7419307274616311,4,0.01155307396445875,0.7123882261778842,4,0.01116413485910958,6
8,3,2,0.8115667532669305,3,0.8281132344324875,2,0.8390527567016348,2,0.832721015053403,2,0.015281170632425674,0.8365510909566327,2,0.014796197268472578,0.830743502433702,2,0.014627588317953546,6
8,3,4,0.8313665122633124,4,0.8313665122633124,4,0.8115667532669305,3,0.8087415361985841,4,0.011890407066470885,0.809563774048369,4,0.011456695770927821,0.8087415361985841,4,0.011238730675073633,6
8,3,2,0.6962885158400562,4,0.6024955403992148,2,0.6284848785148216,2,0.6076757336443813,2,0.022584003003941075,0.5968642466139616,2,0.023054307010521028,0.5737527110066651,2,0.02391381333454015,6
8,3,4,0.712674770183431,6,0.6356687294381682,4,0.6962885158400562,4,0.6524044322898663,4,0.017583747819285424,0.6434438229873725,4,0.0178309988150692,0.6326034365268995,4,0.021688969396613075,6
