n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,5,4,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.26680832109120195,0.23087360210155278,0.3023323519952506,0.10390957574293751,0.08770158032598992,0.12133418003860416,0.16289874534826448,1.9073486328125e-06,1.0,True
14,5,8,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.13759401110615113,0.11662866092576431,0.15858540004450894,0.05425898301932336,0.044542242392966586,0.06520195111147775,0.08333502808682777,1.9073486328125e-06,1.0,True
20,3,6,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.17585453433732218,0.13694373119832787,0.21715427234948295,0.12450352405629853,0.09375389605881243,0.15745835326137267,0.05135101028102364,0.00485992431640625,0.6952380952380952,False
20,3,12,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.12256237863697386,0.09205069821002855,0.15855247192511385,0.09321879863673324,0.06769137840348541,0.12340336116346327,0.02934358000024061,0.00365447998046875,0.7142857142857143,False
20,4,6,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.22588647507352905,0.18178618245578168,0.26966228639734124,0.1251616588041736,0.10117241895350661,0.14857783123490587,0.10072481626935544,5.7220458984375e-06,0.9809523809523809,True
20,4,12,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.13173127238523513,0.11193944603297748,0.15243133176749632,0.0851144102543172,0.07208819282244833,0.09870363436136398,0.04661686213091794,1.9073486328125e-06,1.0,True
20,5,6,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.21548378660316395,0.1837878739957633,0.24459469887716925,0.10989658059354221,0.09138146249651398,0.13024412020029213,0.10558720600962171,1.9073486328125e-06,1.0,True
20,5,12,direction_variance,joint_refit_direction_variance,pair_lasso_direction_variance,20,0.1430500913404902,0.12528969055561096,0.1607361889430325,0.07011554032001435,0.061225518449567855,0.0797132584333963,0.07293455102047587,1.9073486328125e-06,1.0,True
8,3,2,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.3591239680403091,0.28459889941968647,0.43678619506033306,0.1958626982625863,0.1408508270484354,0.2535833046628865,0.16326126977772282,0.0014324188232421875,0.7714285714285715,False
8,3,5,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.09296882565418316,0.06645488943358475,0.12239601915399591,0.06394034594763652,0.04757173814575208,0.08220749100767634,0.02902847970654666,0.03276824951171875,0.5428571428571428,False
8,4,2,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.32957254073789366,0.2643168003662195,0.39442237495413546,0.18764587066914712,0.15212188553081044,0.2236600561858415,0.14192667006874654,0.00365447998046875,0.7142857142857143,False
8,4,5,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.1016857778254876,0.0848853271581775,0.11802105959755319,0.048015968695938126,0.038234478371750334,0.05866016345491264,0.05366980912954948,8.20159912109375e-05,0.9047619047619048,True
8,5,2,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.38523896883773373,0.3202505234563696,0.4493267019883654,0.17838827813320862,0.12623864564441079,0.2350086779755054,0.20685069070452505,0.0003223419189453125,0.8476190476190476,True
8,5,5,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.13559811298342467,0.10785367951810923,0.16749456900120133,0.0569316433696922,0.046959591074956945,0.06769782746923962,0.07866646961373244,5.7220458984375e-06,0.9809523809523809,True
14,3,4,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.15514071821266232,0.11829986941181374,0.19743753362937683,0.12714886017130508,0.09021095490141956,0.16835769233320982,0.02799185804135724,0.4304332733154297,0.20952380952380953,False
14,3,8,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.09676768634390935,0.07436173461471057,0.12171455040963397,0.07856683206352788,0.054764745021928234,0.10500069006563884,0.018200854280381477,0.0758514404296875,0.45714285714285713,False
14,4,4,direction_variance,joint_lasso_direction_variance,pair_lasso_direction_variance,20,0.20985060543811423,0.1742726724915322,0.24361060405003981,0.12311449245270537,0.09263890251526943,0.15408438320786538,0.08673611298540891,0.0001049041748046875,0.8952380952380953,True
