n_features,n_classes,ovr_hellinger,fisher_hard_hellinger,fisher_soft_hellinger,seed
8,3,0.015525046182843295,0.037708497497529074,0.03367418179563582,10
8,3,0.015620963648033013,0.03446671433632506,0.02914732067392135,10
8,3,0.014624970816020894,0.04411453538838089,0.029983220644031805,10
8,3,0.016695489727267133,0.033505971805295846,0.030694947464115094,10
8,3,0.015495811634343075,0.03954797455827125,0.027622253129721205,10
8,3,0.015098318100524477,0.03837248866861884,0.03730708961873098,10
8,3,0.02113673246373047,0.10603308744516601,0.05714455454274563,10
8,3,0.015272910118340866,0.06176400989163639,0.03580491341680886,11
8,3,0.013257300954053848,0.08231516066433983,0.02782216962672059,11
8,3,0.013217377985659785,0.07632330910628646,0.023258846943539014,11
8,3,0.016699405071288767,0.08975665654008773,0.034467678132119484,11
8,3,0.013640746525805391,0.07564880568198488,0.03638310205471238,11
8,3,0.010452607793824942,0.0452865954909055,0.032347430985935025,11
8,3,0.014320941104308111,0.04936340049181738,0.034481349233174294,11
8,3,0.01747505971982438,0.058004249406430314,0.04476873406868927,11
8,3,0.018791718153856163,0.06022394256798818,0.040355605073947816,12
8,3,0.013526510001601369,0.03773177451462266,0.017847486489699894,12
8,3,0.01634179868653698,0.051286243628517234,0.038982117546155756,12
8,3,0.01677215025590446,0.033312706312190084,0.03212040418040644,12
8,3,0.0185924203994028,0.03589979429858789,0.03441612652881351,12
8,3,0.020265487167624458,0.03416745005119059,0.03340860161361326,12
8,3,0.01527405695957692,0.04028009826267889,0.03681594224905375,12
8,3,0.016886700279088163,0.03962966956312762,0.023703200096303206,12
8,3,0.02213489786911306,0.038053991556095484,0.03935131351363068,13
8,3,0.02010028247684781,0.037947103560179433,0.03698154632836702,13
8,3,0.022970735514394002,0.04704077278127753,0.04530931151063687,13
8,3,0.02787267837268556,0.0905270273369837,0.07221725254727535,13
8,3,0.025234802604181022,0.06487775222798972,0.05440829692586119,13
8,3,0.022646961153532187,0.05429119238881169,0.04456170333506412,13
8,3,0.02463200086892138,0.04961494827932846,0.04681178051960539,13
8,3,0.02678617023127462,0.049786289531262684,0.05006364802616863,13
8,3,0.013151021001167594,0.08472999650054931,0.027838830165184784,14
8,3,0.011347414568315627,0.06197004438898204,0.0222596247761825,14
8,3,0.010195222063769114,0.04719598816341231,0.023821928593751675,14
8,3,0.010527824877046104,0.09088962845018528,0.014463192384523222,14
8,3,0.009557925542960383,0.07764741648962459,0.019444632066737695,14
8,3,0.01086542628892011,0.08119021352814866,0.01689191125653597,14
8,3,0.010954922423024984,0.06819780291996705,0.019392221671386052,14
8,3,0.012174614496072657,0.05816664119418867,0.02402779077520491,14
8,3,0.018999404039359267,0.047056545718382616,0.0404964016435681,15
8,3,0.016749246150929608,0.03612391401660937,0.022802336192257085,15
8,3,0.021062935021141614,0.03180353858927323,0.02870221375280032,15
8,3,0.010472642304421314,0.03545677372039466,0.0279436116039233,15
8,3,0.01742675968057109,0.03206430363279213,0.025623008425614466,15
8,3,0.00958101117674817,0.02993399532525082,0.02538487422667275,15
8,3,0.01123236791916948,0.05507476860912081,0.028522329779083127,15
8,3,0.017112270848011615,0.03833205801418621,0.03541246756051173,15
8,3,0.019798633337148933,0.06974797209982328,0.04609845354377977,16
8,3,0.02444689723385449,0.04767326892463174,0.04595670980459517,16
8,3,0.018396919885250634,0.037701233357467036,0.03181277766468623,16
8,3,0.020100507576941734,0.048358454850917734,0.04903410115504639,16
8,3,0.01863294166255171,0.06048219085459729,0.05104588338030912,16
8,3,0.019770442270093794,0.04140162662303172,0.04263704949093818,16
8,3,0.02313571268674263,0.0427868180329763,0.04328190475671279,16
8,3,0.023391909560233206,0.04478531729350558,0.04604034430966039,16
