n_features,n_classes,standard_fidelity_train,standard_extreme_train,standard_moderate_train,standard_fidelity_test,standard_extreme_test,standard_moderate_test,kernel_fidelity_train,kernel_extreme_train,kernel_moderate_train,kernel_fidelity_test,kernel_extreme_test,kernel_moderate_test,logistic_fidelity_train,logistic_extreme_train,logistic_moderate_train,logistic_fidelity_test,logistic_extreme_test,logistic_moderate_test,combined_fidelity_train,combined_extreme_train,combined_moderate_train,combined_fidelity_test,combined_extreme_test,combined_moderate_test,standard_direction_variance,kernel_direction_variance,logistic_direction_variance,combined_direction_variance,seed
8,3,0.7186129398130727,0.9659909966792032,0.6581840758399221,0.7032121742796262,0.8459264845479658,0.6695795681697182,0.7267935637936298,0.9659909966792032,0.66836304122553,0.6931231062654614,0.8459264845479658,0.6571128713816871,0.7175092768386755,0.9659909966792032,0.6568108129640748,0.6937989444218009,0.8459264845479658,0.6579479801708277,0.724635275349115,0.9659909966792032,0.6656775317312557,0.7020785293215015,0.8459264845479658,0.6681787640579431,0.05019912135001005,0.03504197413232664,0.03687988433632425,0.03685282840876151,4
8,3,0.7127708879072975,0.9176951476982004,0.6665372495440727,0.7571617538168726,0.8801163676891499,0.7224762531289426,0.7115255662595366,0.9230532575517224,0.6638021059284386,0.7523029134818883,0.8801163676891499,0.7162467337728625,0.7197378450363509,0.9230532575517224,0.6738671840150693,0.7582822824219644,0.8801163676891499,0.723912882891028,0.7150048733162386,0.9230532575517224,0.6680663909295692,0.7523029134818883,0.8801163676891499,0.7162467337728625,0.04764483584353238,0.05670466159377405,0.04348857727366318,0.06310861464847359,4
8,3,0.6799022840350379,0.9377963128853058,0.6660362013417375,0.63884556160367,0.5587620878587566,0.6432789045854393,0.6951244215886161,0.9377963128853058,0.6820767813347459,0.6121764314183844,0.5587620878587566,0.6151333973699387,0.682313448673093,0.9377963128853058,0.6685770060819984,0.6257813396905433,0.5587620878587566,0.629491460091892,0.7019529949764183,0.9377963128853058,0.6892725038329585,0.5931032616097239,0.5587620878587566,0.5950043554873388,0.09572778869541293,0.07390230767456124,0.0741989872283777,0.07843719318662716,4
8,3,0.7460445833167515,0.8546758136327268,0.7353978427003963,0.6940453421916658,0.9436286360577656,0.6697235586958037,0.7440772612180091,0.8546758136327268,0.7332377070982701,0.7023631298847751,0.9056499011013924,0.6825529223964646,0.7462103078359494,0.8546758136327268,0.7355798095650462,0.703316771595577,0.9436286360577656,0.6798984848649274,0.7429486398525557,0.8266045813089262,0.734749679874727,0.6986761255702573,0.8106202924025441,0.687767215173473,0.05354968010156553,0.04886344451626691,0.050306642263987345,0.05028529812122456,4
8,3,0.7248139507566911,0.880307910310223,0.7120168005855597,0.7494240309698599,0.6814030924668985,0.7532677743438307,0.7268829253117997,0.880307910310223,0.7142560517106262,0.7410364743504427,0.7032653122621461,0.743170856162857,0.7269270886569422,0.880307910310223,0.7143038496983073,0.7485613703365082,0.7032653122621461,0.7511209707613501,0.7346720557649666,0.880307910310223,0.722686227464832,0.748125854358373,0.7032653122621461,0.7506608445427204,0.05018690568454892,0.05609442717390036,0.05028632862665791,0.05911452718848316,4
8,3,0.8483130532972117,0.9712395525792068,0.7712211019766063,0.8308551805756219,0.9621661437480837,0.7536743430532427,0.8443139083848747,0.9712395525792068,0.7647139389664085,0.8329774301134374,0.9755419604686087,0.749182066893496,0.8540251551646518,0.9712395525792068,0.7805154833498904,0.8302069399170785,0.9680579202795039,0.749182066893496,0.8456958628185944,0.9712395525792068,0.7669625703538677,0.83800838315117,0.9755419604686087,0.7571700705811275,0.012142483403235064,0.009680401255352272,0.010155912958169411,0.011350630633881826,5
8,3,0.8486364932031757,0.9732176878052073,0.8301205428460842,0.818753349129112,0.9388413057798464,0.7987790458675803,0.8541926649117414,0.9732176878052073,0.8365025037105488,0.8444345374929286,0.9147670218454944,0.8327360923634062,0.8589032321730707,0.9732176878052073,0.8419131816895762,0.8340722933242873,0.9147670218454944,0.8206502897858525,0.8548774887546927,0.9732176878052073,0.8372891098836499,0.8391258001744988,0.8955468277927916,0.8297412561502154,0.02439169217626453,0.021651551639814415,0.022145260194123002,0.02130079686003976,5
8,3,0.8820698268760253,0.9943725650847004,0.780273197791628,0.8767314487154672,0.9611207247821608,0.8008405112768583,0.9060213746676247,1.0,0.8208346070302672,0.8929552503454028,0.9623701511147741,0.8305307085418652,0.8861036979100925,1.0,0.782862585512753,0.8798681305711845,0.9623701511147741,0.8056743944537644,0.8959705321570804,1.0,0.8016731951484724,0.8929552503454028,0.9623701511147741,0.8305307085418652,0.03937257336840759,0.019765951229708693,0.01980114276795744,0.020952859894775563,5
8,3,0.8437792046990279,0.9808948805240059,0.824673845223933,0.7809156764850204,0.968458450314844,0.7593543141152193,0.8439023101905779,0.9808948805240059,0.8248141039304986,0.7966535667656076,0.968458450314844,0.7769015535290543,0.8511321352847415,0.9808948805240059,0.8330513149893591,0.7898303876903586,0.968458450314844,0.7692939292120551,0.8472813560711965,0.9808948805240059,0.8286639777149553,0.7980681195208326,0.968458450314844,0.7784787341687015,0.015212276806696793,0.014813727025546918,0.014575471746572758,0.01575331836981225,5
8,3,0.870559112186171,1.0,0.833559514778989,0.8137637982993763,0.9783748335067096,0.7654603666993115,0.8742432122937951,1.0,0.838296684153149,0.8414353315406352,0.9897519605059563,0.7979133274820677,0.8747257277806151,1.0,0.8389171226645756,0.8466715889746531,0.9897519605059563,0.8046861113250582,0.8715694352053226,1.0,0.8348586302005349,0.8704101846658083,0.9897519605059563,0.8353905561271497,0.010035943331249656,0.007385682699052182,0.005982221232766803,0.007999854343093775,5
