n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,4,moderate,logistic_moderate,ridge_moderate,20,0.7954126929428341,0.7809202857302121,0.8104590209995866,0.7908561698586645,0.7765361636541251,0.8061615346294767,0.004556523084169484,1.9073486328125e-06,1.0,True
14,5,moderate,logistic_moderate,ridge_moderate,20,0.7711215289682414,0.7613899322996436,0.7809940745608945,0.7672294117331584,0.7573586133837201,0.7770864916570799,0.003892117235082965,0.000850677490234375,0.8,True
20,3,moderate,logistic_moderate,ridge_moderate,20,0.8251418156674429,0.8045714327056154,0.8465743821959114,0.823589081881457,0.8030607978156579,0.8450640922084046,0.001552733785985988,0.05316925048828125,0.49523809523809526,False
20,4,moderate,logistic_moderate,ridge_moderate,20,0.79699729331217,0.7869207151719249,0.8077109458931468,0.79385230979204,0.78428168182032,0.8041401402925832,0.0031449835201300515,0.000209808349609375,0.8666666666666667,True
20,5,moderate,logistic_moderate,ridge_moderate,20,0.7838021576478302,0.7745086632414174,0.7927496594166495,0.7797357124144662,0.7708883680574037,0.788008861782006,0.004066445233364085,9.5367431640625e-06,0.9714285714285714,True
8,3,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.036291808936866184,0.025494287130776453,0.04787118585828802,0.042074967762512974,0.03070631960728847,0.0542859285324467,-0.005783158825646793,1.9073486328125e-06,-1.0,True
8,4,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.020785233997301047,0.01714327267632193,0.02471008036950122,0.02598004579419848,0.02219086244758361,0.029991443476999686,-0.005194811796897432,1.9073486328125e-06,-1.0,True
8,5,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.01933906265385994,0.017132290474527467,0.021865663413153758,0.025380515152222883,0.02266317780892058,0.028377765519056925,-0.006041452498362942,1.9073486328125e-06,-1.0,True
14,3,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.06056105567639053,0.04625706631477113,0.07641726216003217,0.06508809389528711,0.04905836198777458,0.08296375323962892,-0.0045270382188965725,0.00365447998046875,-0.7142857142857143,True
14,4,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.04819697788331749,0.03509705773794868,0.06601045535679534,0.05085860276593438,0.03779381694551503,0.06806265306219346,-0.0026616248826168837,0.0031528472900390625,-0.7238095238095238,True
14,5,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.03867185372566519,0.03244996496471902,0.04636039822736413,0.041544392168527414,0.035226738006816666,0.04946996831502954,-0.002872538442862222,9.5367431640625e-06,-0.9714285714285714,True
20,3,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.0889541561745973,0.06927129706063286,0.112186856767611,0.09153769986798305,0.07181530479934703,0.11495202924734374,-0.0025835436933857713,0.01068878173828125,-0.638095238095238,True
20,4,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.06149319997821774,0.05330443984810034,0.06934783924169349,0.06517061240355217,0.056020004019796774,0.0742733538536197,-0.0036774124253344345,9.5367431640625e-06,-0.9714285714285714,True
20,5,direction_variance,logistic_direction_variance,ridge_direction_variance,20,0.05357237772239202,0.045893212103060445,0.06232526471613584,0.05614809256137745,0.048091143966160335,0.06540936931863214,-0.002575714838985453,5.7220458984375e-06,-0.9809523809523809,True
