n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
14,4,pooling costs?,pair_soft,pooled_soft,20,0.9859065934065934,0.983021978021978,0.9884615384615383,0.9817582417582418,0.9780769230769231,0.9852472527472529,0.004148351648351645,0.00029049635940039644,0.9473684210526315,True
14,5,pooling costs?,pair_soft,pooled_soft,20,0.9879395604395604,0.985521978021978,0.9900824175824177,0.9846153846153847,0.9820054945054946,0.9870329670329671,0.003324175824175812,0.0006410902425138654,0.9411764705882353,True
20,3,pooling costs?,pair_soft,pooled_soft,20,0.9853383458646615,0.9823305921052631,0.9881109022556391,0.9841541353383458,0.9810996240601504,0.986955122180451,0.0011842105263157876,0.059101388122853385,0.48095238095238096,False
20,4,pooling costs?,pair_soft,pooled_soft,20,0.9861184210526316,0.9834774436090227,0.9886844454887218,0.9820112781954886,0.9784774436090228,0.9853289473684207,0.004107142857142865,0.0002720355655508431,0.9285714285714286,True
20,5,pooling costs?,pair_soft,pooled_soft,20,0.9873120300751879,0.9849154135338345,0.9894457236842105,0.9816353383458647,0.9772366071428571,0.9852164003759398,0.005676691729323324,0.00010248649056818514,0.9904761904761905,True
8,3,rotation costs?,diag_soft,pooled_soft,20,0.9479166666666666,0.934375,0.9598214285714286,0.9834821428571431,0.9784226190476192,0.9880952380952379,-0.03556547619047617,8.807368035275503e-05,-1.0,True
8,4,rotation costs?,diag_soft,pooled_soft,20,0.9413690476190476,0.9294642857142857,0.9528273809523811,0.9866071428571429,0.9818452380952379,0.9904761904761905,-0.04523809523809521,8.794879347050151e-05,-1.0,True
8,5,rotation costs?,diag_soft,pooled_soft,20,0.9467261904761906,0.9394345238095239,0.9528273809523811,0.9808035714285717,0.9754464285714288,0.9857142857142858,-0.03407738095238093,0.00013121408685711018,-1.0,True
14,3,rotation costs?,diag_soft,pooled_soft,20,0.9291483516483516,0.9118674450549449,0.9435164835164835,0.9833791208791209,0.978323489010989,0.987554945054945,-0.054230769230769235,1.9073486328125e-06,-1.0,True
14,4,rotation costs?,diag_soft,pooled_soft,20,0.9302197802197799,0.9158516483516485,0.9426373626373625,0.9817582417582418,0.9780769230769231,0.9852472527472529,-0.05153846153846153,1.9073486328125e-06,-1.0,True
14,5,rotation costs?,diag_soft,pooled_soft,20,0.937554945054945,0.9309065934065934,0.9440934065934066,0.9846153846153847,0.9820054945054946,0.9870329670329671,-0.047060439560439565,8.844915021211901e-05,-1.0,True
20,3,rotation costs?,diag_soft,pooled_soft,20,0.923063909774436,0.9102241541353382,0.9351139567669172,0.9841541353383458,0.9810996240601504,0.986955122180451,-0.061090225563909764,1.9073486328125e-06,-1.0,True
20,4,rotation costs?,diag_soft,pooled_soft,20,0.9205921052631577,0.9099901315789473,0.9308277725563909,0.9820112781954886,0.9784774436090228,0.9853289473684207,-0.061419172932330804,1.9073486328125e-06,-1.0,True
20,5,rotation costs?,diag_soft,pooled_soft,20,0.9203947368421053,0.9072918233082704,0.9312704417293232,0.9816353383458647,0.9772366071428571,0.9852164003759398,-0.06124060150375939,1.9073486328125e-06,-1.0,True
8,3,moment vs response,cov_logodds,pooled_soft,20,0.9836309523809522,0.975595238095238,0.990922619047619,0.9834821428571431,0.9784226190476192,0.9880952380952379,0.00014880952380948997,0.8607562233837367,0.04678362573099415,False
8,4,moment vs response,cov_logodds,pooled_soft,20,0.983779761904762,0.9797619047619047,0.9876488095238096,0.9866071428571429,0.9818452380952379,0.9904761904761905,-0.0028273809523809423,0.21761702055426813,-0.32105263157894737,False
8,5,moment vs response,cov_logodds,pooled_soft,20,0.9708333333333335,0.9590773809523812,0.9803571428571429,0.9808035714285717,0.9754464285714288,0.9857142857142858,-0.009970238095238082,0.011246290301649548,-0.6783625730994152,False
14,3,moment vs response,cov_logodds,pooled_soft,20,0.989835164835165,0.986346153846154,0.9928021978021979,0.9833791208791209,0.978323489010989,0.987554945054945,0.006456043956043938,0.0017098284498595065,0.8,True
14,4,moment vs response,cov_logodds,pooled_soft,20,0.9832142857142859,0.9780494505494506,0.9879395604395604,0.9817582417582418,0.9780769230769231,0.9852472527472529,0.0014560439560439508,0.26834404604173756,0.2894736842105263,False
14,5,moment vs response,cov_logodds,pooled_soft,20,0.9860164835164834,0.9830212912087912,0.988543956043956,0.9846153846153847,0.9820054945054946,0.9870329670329671,0.001401098901098885,0.45515496267864286,0.19047619047619047,False
20,3,moment vs response,cov_logodds,pooled_soft,20,0.9903007518796991,0.9863153195488722,0.992998120300752,0.9841541353383458,0.9810996240601504,0.986955122180451,0.0061466165413534115,0.0013232490063517005,0.819047619047619,True
20,4,moment vs response,cov_logodds,pooled_soft,20,0.9877443609022555,0.9853757048872179,0.9900563909774434,0.9820112781954886,0.9784774436090228,0.9853289473684207,0.005733082706766951,0.000951402010451492,0.8428571428571429,True
20,5,moment vs response,cov_logodds,pooled_soft,20,0.9856015037593984,0.9811654135338346,0.9892297932330826,0.9816353383458647,0.9772366071428571,0.9852164003759398,0.0039661654135338675,0.006787581084581521,0.6904761904761905,True
8,3,soft vs hard,pooled_soft,pooled_hard,20,0.9834821428571431,0.9784226190476192,0.9880952380952379,0.9633928571428573,0.9519308035714287,0.9735119047619047,0.02008928571428569,0.00012678949295800776,0.9761904761904762,True
8,4,soft vs hard,pooled_soft,pooled_hard,20,0.9866071428571429,0.9818452380952379,0.9904761904761905,0.9663690476190476,0.9574404761904762,0.9742559523809522,0.02023809523809521,8.609160404929316e-05,1.0,True
8,5,soft vs hard,pooled_soft,pooled_hard,20,0.9808035714285717,0.9754464285714288,0.9857142857142858,0.9617559523809526,0.9546130952380952,0.9687537202380954,0.01904761904761903,0.00012936777246760716,1.0,True
14,3,soft vs hard,pooled_soft,pooled_hard,20,0.9833791208791209,0.978323489010989,0.987554945054945,0.9501098901098899,0.9373351648351649,0.9598358516483515,0.03326923076923076,8.844915021211901e-05,1.0,True
14,4,soft vs hard,pooled_soft,pooled_hard,20,0.9817582417582418,0.9780769230769231,0.9852472527472529,0.9498076923076922,0.9412637362637364,0.9579395604395604,0.031950549450549454,8.807368035275503e-05,1.0,True
14,5,soft vs hard,pooled_soft,pooled_hard,20,0.9846153846153847,0.9820054945054946,0.9870329670329671,0.9524725274725274,0.9462637362637363,0.9585714285714285,0.032142857142857154,8.844915021211901e-05,1.0,True
20,3,soft vs hard,pooled_soft,pooled_hard,20,0.9841541353383458,0.9810996240601504,0.986955122180451,0.9462124060150376,0.9383453947368422,0.9531675281954886,0.03794172932330825,8.844915021211901e-05,1.0,True
20,4,soft vs hard,pooled_soft,pooled_hard,20,0.9820112781954886,0.9784774436090228,0.9853289473684207,0.9406954887218044,0.9319544172932329,0.9492960526315789,0.04131578947368418,8.844915021211901e-05,1.0,True
20,5,soft vs hard,pooled_soft,pooled_hard,20,0.9816353383458647,0.9772366071428571,0.9852164003759398,0.9447932330827067,0.9349149436090225,0.9523310620300751,0.036842105263157884,1.9073486328125e-06,1.0,True
8,3,gap to contrastive,contrastive,cov_logodds,20,0.9991071428571429,0.9976190476190476,1.0,0.9836309523809522,0.975595238095238,0.990922619047619,0.015476190476190454,0.0004149567819033266,1.0,True
8,4,gap to contrastive,contrastive,cov_logodds,20,0.9994047619047619,0.9985119047619048,1.0,0.983779761904762,0.9797619047619047,0.9876488095238096,0.01562499999999995,8.354186598692902e-05,1.0,True
8,5,gap to contrastive,contrastive,cov_logodds,20,0.9980654761904763,0.9956845238095239,0.9997023809523811,0.9708333333333335,0.9590773809523812,0.9803571428571429,0.027232142857142795,0.00015366877174006932,0.9894736842105263,True
