n_features,n_classes,K,pair_lasso_fidelity,fisher_select_fidelity,ridge_select_fidelity,joint_lasso_fidelity,joint_refit_fidelity,pair_lasso_crosspair_overlap,pair_lasso_cycle_residual,fisher_select_crosspair_overlap,fisher_select_cycle_residual,ridge_select_crosspair_overlap,ridge_select_cycle_residual,joint_lasso_crosspair_overlap,joint_lasso_cycle_residual,joint_refit_crosspair_overlap,joint_refit_cycle_residual,pair_lasso_support_stability,pair_lasso_direction_variance,fisher_select_support_stability,fisher_select_direction_variance,ridge_select_support_stability,ridge_select_direction_variance,joint_lasso_support_stability,joint_lasso_direction_variance,joint_refit_support_stability,joint_refit_direction_variance,seed
8,3,5,0.7908440822110046,0.8062518460018692,0.8062518460018692,0.5852359722428734,0.7878033113040198,0.5079365079365079,1.2505622042977058,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7555555555555554,0.027849063143345794,1.0,0.016642877387211225,1.0,0.016642877387211225,1.0,0.0813034457261341,1.0,0.01669097492894161,1
8,3,2,0.7163304511703104,0.8363262867594704,0.8363262867594704,0.6373403940005625,0.8260098414047383,0.5555555555555555,1.331647117576864,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6444444444444444,7.201179704350888e-09,1.0,0.0008359445891820541,1.0,0.0008359445891820541,0.7777777777777779,0.6463038306464889,0.7777777777777779,0.3329294912958023,1
8,3,5,0.7770234569119415,0.8335989390249304,0.8335989390249304,0.7519049825739825,0.844873315770582,0.6190476190476191,0.3843820173038971,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7555555555555554,0.010723569994210862,0.7238095238095237,0.02471064757232891,0.6761904761904762,0.02797919242115017,0.7333333333333332,0.0032348549973245542,0.7333333333333332,0.016511670410811793,1
8,3,2,0.7435856289023938,0.856579488745027,0.856579488745027,0.559944454883187,0.780490180987728,0.2222222222222222,1.1898467093255345,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.3677897372598534e-07,1.0,0.0017548103763045048,1.0,0.0017548103763045048,0.6444444444444444,2.2520426220618232e-05,0.6444444444444444,0.4988066592995246,1
8,3,5,0.8730253497258754,0.8820357876880739,0.8820357876880739,0.7698026436125966,0.8188277785160704,0.5873015873015873,0.48712407035307836,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.002283175890279948,0.7999999999999999,0.005797525511075226,0.8222222222222222,0.005165836770771647,0.7555555555555554,0.2762100302208377,0.7555555555555554,0.07068819458385205,1
8,3,2,0.7067565208125308,0.6926582025823691,0.6926582025823691,0.6382495207656932,0.7778845036048456,0.3333333333333333,1.4341804219939138,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.476223932747393e-07,0.7777777777777778,0.08562138380227269,0.7777777777777778,0.08562138380227269,0.6444444444444444,0.3329268657042127,0.6444444444444444,0.029094829653048663,1
8,3,5,0.8392023297496277,0.8528570643978939,0.8528570643978939,0.8101433862198953,0.8128745754922543,0.36904761904761907,0.45253199452203396,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.015661016305579402,0.8222222222222222,0.015273124781991058,0.7999999999999999,0.017467292840113335,0.7555555555555553,0.03608529372672617,0.7555555555555553,0.07461022416571612,1
8,3,2,0.8531003181006098,0.9119367023563831,0.9119367023563831,0.5827335599320433,0.8977242805716039,0.5555555555555555,2.0953618402071656,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.46666666666666656,2.1942837385260325e-09,0.7777777777777778,0.011225826850005007,0.7777777777777778,0.011225826850005007,1.0,1.0623287807754416,1.0,0.00016719688134519189,1
8,3,5,0.889622382094411,0.9057671753524514,0.9057671753524514,0.8857605575214379,0.9057671753524514,0.5873015873015873,0.12125305646369727,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.005714515312914229,0.7555555555555554,0.011503108112635474,0.7238095238095237,0.011993236761026623,0.7555555555555554,0.0018697503236668929,0.7555555555555554,0.025263134032550205,1
8,3,2,0.5680961348075184,0.5626525639603587,0.5626525639603587,0.5372488478552725,0.5384829815918525,0.5555555555555555,0.5711207310810167,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,3.6811486888599134e-07,1.0,0.023328495312905064,1.0,0.023328495312905064,0.511111111111111,2.0465728179782392e-07,0.511111111111111,0.21673685635700748,2
